Track,Artist,Album,Duration,Explicit
Never Really Over,Katy Perry,Never Really Over - Single,03:43,False
New Dorp. New York (feat. Ezra Koenig),SBTRKT,Wonder Where We Land,03:00,False
A New England,Billy Bragg,John Peel: A Tribute,02:12,False
New York City Cops,The Strokes,Is This It,03:36,False
The Next Episode,Dr. Dre,2001,02:41,True
Nice For What,Drake,Scorpion,03:30,True
The Night Josh Tillman Came To Our Apt.,Father John Misty,I Love You  Honeybear,03:36,False
Night Shift,Lucy Dacus,Historian,06:31,True
Nikki,The Licks,Nikki - Single,04:29,True
No Buses,Arctic Monkeys,Who The Fuck Are Arctic Monkeys? [EP],03:17,False
No Children,The Mountain Goats,Tallahassee,02:48,False
No Diggity,Blackstreet (feat. Dr Dre),No Diggity,05:04,False
No Geography,The Chemical Brothers,No Geography,03:10,False
No Money,Galantis,No Money - Single,03:09,False
No One,Alicia Keys,As I Am (Expanded Edition),04:13,False
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,Coloring Book,05:04,True
No Surprises,Radiohead,OK Computer,03:49,False
No Woman  No Cry,Fugees,The Score,04:33,False
No. 1 Party Anthem,Arctic Monkeys,AM,04:03,False
Nobody Speak (feat. Run the Jewels),DJ Shadow,The Mountain Will Fall,03:15,True
Nocturne No. 2 In E-Flat Major  Op. 9,Finghin Collins,The 50 Greatest Pieces of Classical Music,04:53,False
Noise Pollution (feat. Mary Elizabeth Winstead & Zoe Manville) [Version A  Vocal Up Mix 1.3],Portugal. The Man,Woodstock,03:45,False
Norse Truth,Against Me!,Shape Shift with Me,03:07,True
Not the Same Anymore,The Strokes,The New Abnormal,05:37,False
Nothing Else Matters,Metallica,Metallica,06:28,False
Nothing Good Ever Happens At The Goddamn Thirsty Crow,Father John Misty,I Love You  Honeybear,04:34,False
Notion,Kings of Leon,Only by the Night,03:00,False
Nox Lumina,Karen O & Danger Mouse,Lux Prima,06:09,False
Nude,Radiohead,In Rainbows,04:15,False
Number One (feat. Richie Havens & Son Little),Portugal. The Man,Woodstock,05:21,False
The Number Song (Lee Bannon Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),03:01,False
Nurula,Plaid,Polymer,04:00,False
Nuthin' but a G Thang (feat. Snoop Dogg),Dr. Dre,The Chronic,03:56,False
Ný Batterí,Sigur Rós,Ágætis Byrjun,08:10,False
O-o-h Child,The Five Stairsteps,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),03:13,False
O-o-h Child (Remastered),The Five Stairsteps,Stairsteps (Bonus Track Version),03:17,False
Obvious Bicycle,Vampire Weekend,Modern Vampires of the City,04:11,False
Ocean Blue,Moniker,Hunt for the Wilderpeople (Original Motion Picture Soundtrack),02:25,False
Octopus's Garden,The Beatles,Abbey Road,02:50,False
Ode to the Mets,The Strokes,The New Abnormal,05:51,False
Oh Daddy,Fleetwood Mac,Rumours,03:56,False
Oh Jean,The Proclaimers,Sunshine On Leith,05:55,False
Oh My God,Katzenjammer,Rockland,03:24,False
Oh! You Pretty Things,David Bowie,Hunky Dory (Remastered),03:12,False
Old Bike,Rob Cantor,Not a Trampoline,03:07,False
Old Yellow Bricks,Arctic Monkeys,Favourite Worst Nightmare,03:11,False
Ole Black 'n' Blue Eyes,The Fratellis,Costello Music,03:14,False
Olsen Olsen,Sigur Rós,Ágætis Byrjun,08:02,False
On Melancholy Hill,Gorillaz,Plastic Beach,03:53,False
On My Shoulders,The Dø,A Mouthful,05:21,False
Once Again (Here to Kick One for You) [feat. Grand Puba & Sadat X],Handsome Boy Modeling School,So...How's Your Girl?,04:01,False
Once In a Lifetime,Talking Heads,The Best of Talking Heads,04:20,False
One Crowded Hour,Augie March,Moo You Bloody Choir,04:50,False
One For the Road,Arctic Monkeys,AM,03:26,False
One More Time,Daft Punk,Discovery,06:08,False
One of Us,ABBA,Gold: Greatest Hits,03:55,False
One Point Perspective,Arctic Monkeys,Tranquility Base Hotel & Casino,03:28,False
One Step Beyond,Madness,It's... Another Madness Too,02:20,False
The One That Got Away,Katy Perry,Teenage Dream,03:47,False
One Vision,Queen,A Kind Of Magic,05:11,False
One Way Or Another,Blondie,NME Classics,03:25,False
Only Ones Who Know,Arctic Monkeys,Favourite Worst Nightmare,03:02,False
The Only Way Is Up (Acoustic),Stornoway,Bonxie Unplucked EP,04:27,False
Ooh La La,Goldfrapp,The Singles,03:25,False
Ophelia,The Lumineers,Cleopatra (Deluxe Version),02:40,False
Ops,Plaid,Polymer,04:16,False
Orange Wedge,The Chemical Brothers,Surrender,03:06,False
Ordinary Pleasure,Toro y Moi,Outer Peace,03:03,False
Organ Donor (UZ Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),03:57,False
Osea (feat. Koreless),SBTRKT,Wonder Where We Land,02:38,False
The Other Side,Chilly Gonzales & Jarvis Cocker,Room 29,03:44,False
Out of Control,The Chemical Brothers,Surrender,07:19,False
Out of Time,Blur,Think Tank,03:51,False
Over You,Lily Moore,Over You - Single,03:14,True
Oxford Comma,Vampire Weekend,Vampire Weekend,03:15,True
P.I.M.P.,50 Cent,Get Rich or Die Tryin',04:09,True
Paint It  Black,The Rolling Stones,The Rolling Stones Singles Collection: The London Years,03:44,False
The Pale Moth,Plaid,Polymer,04:52,False
Panic Station,Muse,The 2nd Law,03:04,False
Paper Planes,M.I.A.,Kala,03:25,False
Paper Thin Hotel,Leonard Cohen,Death of a Ladies' Man,05:44,False
Paradise,George Ezra,Staying at Tamara's,03:42,False
Paranoid Android,Radiohead,OK Computer,06:27,False
Parklife,Blur,Parklife,03:05,False
The Partisan,Leonard Cohen,The Essential Leonard Cohen,03:24,False
Patience,Tame Impala,Patience - Single,04:52,False
Patricia the Stripper,Chris de Burgh,Best Moves,03:28,False
Pause 4 Porno,Dr. Dre & Jake Steed,2001,01:32,True
Peach,The Front Bottoms,Talon of the Hawk,03:05,False
Peanut Butter Jelly,Galantis,Pharmacy,03:23,False
Pencil Full Of Lead,Paolo Nutini,Sunny Side Up,02:26,False
Perfect Day,Lou Reed,Perfect Day,03:44,False
Perhaps Vampires Is a Bit Strong But...,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,04:28,False
Perhaps Vampires Is a Bit Strong But…,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,04:28,False
Piano Man,Billy Joel,The Essential Billy Joel,05:39,False
Pittsburgh  Pennsylvania,Guy Mitchell,The Very Best of - 50 Original Recordings,02:58,False
Player's Ball,Outkast,Southernplayalisticadillacmuzik,04:21,True
Please Come Back Home,Karen Carroll,Talk to the Hand,04:18,False
Please Never Fall in Love Again,Ollie MN,Songs from the Swamp - EP,02:34,False
pockets (mixtape version),easy life,creature habits mixtape - EP,03:53,False
Pony,Ginuwine,Greatest Hits,05:20,False
Post Break-Up Sex,The Vaccines,What Did You Expect from The Vaccines?,02:54,True
Powderfinger,Neil Young & Crazy Horse,Rust Never Sleeps,05:30,False
Power,Kanye West,My Beautiful Dark Twisted Fantasy (Deluxe Edition),04:52,True
PPP,Beach House,Depression Cherry,06:08,False
Praze,Plaid,Polymer,03:54,False
Prelude,Muse,The 2nd Law,00:57,False
Pretty Amazing Grace,Neil Diamond,Home Before Dark,04:53,False
Pretty Pimpin,Kurt Vile,B'lieve I'm Goin Down...,04:58,False
Problem (Solved) [feat. Jessie Ware],SBTRKT,Wonder Where We Land,02:39,False
The Projects (Pjays) [feat. Dave & Del Tha Funkee Homosapien],Handsome Boy Modeling School,So...How's Your Girl?,04:29,False
prom dress,mxmtoon,the masquerade,03:17,False
Provision L-3,Against Me!,Shape Shift with Me,01:55,False
Psycho,Muse,Drones,05:16,True
Psycho Killer (Live),Talking Heads,Essential,04:25,False
The Pulse,The Magic Numbers,The Runaway,05:17,False
Purple Pills,D12,Devil's Night,05:04,True
Put Your Head on My Shoulder,Paul Anka,Sings His Favorites,02:35,False
Put Your Record On,Corinne Bailey Rae,Girlfriends (The Soundtrack),03:33,False
Queen of Denmark,John Grant,Queen of Denmark,04:48,False
R U Mine?,Arctic Monkeys,AM,03:21,False
Radio Ga Ga,Queen,The Platinum Collection,05:43,False
Rap God,Eminem,The Marshall Mathers LP2,06:03,True
Rap Promoter,A Tribe Called Quest,The Low End Theory,02:13,False
Rapper's Delight,The Sugarhill Gang,The Greatest Hits,07:07,False
Ready or Not,Fugees,The Score,03:46,True
A Real Hero (feat. Electric Youth),College & Electric Youth,Drive (Original Motion Picture Soundtrack),04:27,False
Real Love (from the John Lewis Christmas Advert 2014),Tom Odell,Real Love (from the John Lewis Christmas Advert 2014) - Single,02:21,False
The Real Slim Shady,Eminem,Curtain Call,04:44,True
Reality Check (feat. Eryn Allen Kane & Akenya),Noname,Telefone,03:03,True
Rebecca,Against Me!,Shape Shift with Me,02:38,True
Recall,Plaid,Polymer,03:11,False
Red Intro,Fugees,The Score,01:51,True
Red Light Indicates Doors Are Secured,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,02:23,False
Redbone,Childish Gambino,"Awaken  My Love!",05:26,True
Redeemer,Karen O & Danger Mouse,Lux Prima,03:49,False
Rehab (Winter in Paris),Brent Faiyaz,Rehab (Winter in Paris) - Single,03:00,True
Reveries,Karen O & Danger Mouse,Lux Prima,03:44,False
Rhinestone Eyes,Gorillaz,Plastic Beach,03:20,False
Rhymes Like Dimes (feat. DJ Cucumber Slice),MF DOOM,Operation: Doomsday (Complete),04:18,True
Rich & Sad,Post Malone,beerbongs & bentleys,03:26,True
Rich Friends,Portugal. The Man,Woodstock,03:41,False
Rich Girl (Remastered),Daryl Hall & John Oates,The Essential Daryl Hall & John Oates (Remastered),02:24,False
Ride,twenty one pilots,Blurryface,03:34,False
Ring of Fire,Johnny Cash,Ring of Fire: the Legend of Johnny Cash,02:35,False
Rio (2009 Remastered Version),Duran Duran,Rio (Collector's Edition),05:37,False
Riot Van,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,02:15,False
The Rip,Portishead,Third,04:30,False
River (feat. Ed Sheeran),Eminem,Revival,03:41,True
Road Rage,Catatonia,International Velvet,05:08,False
Road to Nowhere,Talking Heads  David Byrne  Jerry Harrison  Andrew Cader & Eric 'ET' Thorngren,The Best of Talking Heads,04:19,False
Roaring 20s,Panic! At the Disco,Pray for the Wicked,03:06,False
Robot Rock,Daft Punk,Human After All,04:47,False
Rock and Roll Is King,Electric Light Orchestra,All Over the World: The Very Best of ELO,03:07,False
Rock Co.Kane Flow (feat. MF Doom),De La Soul,The Grind Date,03:05,True
Rock N' Roll (Could Never Hip Hop Like This),Handsome Boy Modeling School,So...How's Your Girl?,04:21,False
Rocket,Chrome Sparks,Chrome Sparks,03:15,False
Rocket Man (I Think It's Going To Be a Long Long Time) [Remastered],Elton John,Diamonds (Deluxe),04:42,False
Rocket Man (I Think It's Going To Be A Long  Long Time),Elton John,Rocket Man: The Definitive Hits,04:42,False
Rockin' All Over the World,Status Quo,Rockin' All Over the World,03:37,False
Rockin' Robin,Michael Jackson And The Jackson 5,Greatest Hits 1969-1975,02:33,False
Rockin' The Suburbs,Ben Folds,Rockin' The Suburbs,04:58,False
Rocks & Daggers,Noah & The Whale,Peaceful  The World Lays Me Down,04:33,False
Rocks and Daggers,Noah & The Whale,Peaceful  the World Lays Me Down,04:32,False
Rosa Parks,Outkast,OutKast,03:57,True
Roses,Outkast,Speakerboxxx/The Love Below,06:09,False
Roses Are Red,Mac Band,The Playlist – Classic R&B,05:48,False
ROXANNE,Arizona Zervas,ROXANNE - Single,02:43,True
RSI,Beak>,>>>,03:33,False
The Run and Go,twenty one pilots,Vessel (Bonus Tracks Version),03:49,False
Run from Me,Timber Timbre,Hot Dreams,04:16,False
Runaway (U & I),Galantis,Runaway (U & I) - Single,03:47,False
The Runway Song (feat. DJ Kid Koala),Handsome Boy Modeling School,So...How's Your Girl?,04:48,False
Russians,Sting,Fields of Gold - The Best of Sting (1984-1994) [Remastered],03:56,False
Sabotage,Beastie Boys,Ill Communication (Deluxe Edition),02:58,True
Sail,AWOLNATION,Megalithic Symphony,04:19,False
A Samurai's Death,Ricko James,A Samurai's Death - Single,04:04,False
Santa Monica,The Front Bottoms,Talon of the Hawk,04:07,False
Saskia Hamilton,Ben Folds & Nick Hornby,Lonely Avenue,03:06,False
Saturday Night At the Movies,The Drifters,All-Time Greatest Hits & More (1959-1965),02:27,False
Saturday Night's Alright for Fighting,Elton John,Goodbye Yellow Brick Road,04:55,False
Saturday Night's Alright For Fighting,Elton John,Rocket Man: The Definitive Hits,04:53,False
Save Me,Muse,The 2nd Law,05:08,False
Save Me,Queen,Greatest Hits,03:48,False
Saviers Road,Anderson .Paak,Oxnard,02:24,False
Say No Go,De La Soul,3 Feet High And Rising,04:20,False
Say So,Doja Cat,Hot Pink,03:57,True
Say Yes,Elliott Smith,Either/Or,02:20,False
Scar Tissue,Red Hot Chili Peppers,Greatest Hits,03:35,False
Scenario,A Tribe Called Quest,The Low End Theory,04:10,False
Scheme Like Leaves,Justjoey,World Is Home - EP,02:34,False
Science Fiction,Arctic Monkeys,Tranquility Base Hotel & Casino,03:05,False
The Scope of All of This Rebuilding,The Hotelier,Home  Like Noplace Is There,02:26,False
The Score,Fugees,The Score,05:02,True
The Sea Change,Turin Brakes,Dermot O'Leary Presents The Saturday Sessions 2010,03:09,False
Sea Change,Turin Brakes,Outbursts,04:02,False
Seasons in the Sun,Terry Jacks,70s 100 Hits,03:25,False
Second Hand News,Fleetwood Mac,Rumours,02:56,False
Selfless,The Strokes,The New Abnormal,03:42,False
September,Earth  Wind & Fire,Greatest Hits,03:35,False
Seven Nation Army,The White Stripes,Elephant,03:51,False
Seven Seas Of Rhye,Queen,Greatest Hits I  II & III,02:50,False
Sex On Fire,Kings Of Leon,Only By The Night,03:23,False
Shadow Man (feat. Saba  Smino & Phoelix),Noname,Telefone,05:11,True
Shame on a N***a,Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],02:57,True
Shape of My Heart,Noah & The Whale,Peaceful  the World Lays Me Down,02:52,False
Shape of You (Stormzy Remix),Ed Sheeran,Shape of You (Stormzy Remix) - Single,03:51,False
The Sharpest Lives,My Chemical Romance,The Black Parade,03:20,False
She Looks Like Fun,Arctic Monkeys,Tranquility Base Hotel & Casino,03:02,True
She Loves You,The Beatles,1,02:21,False
She Will Be Loved,Maroon 5,Songs About Jane,04:18,False
She's Got Me Dancing,Tommy Sparks,She's Got Me Dancing,03:29,False
She's Not There,The Zombies,The Original Studio Recordings  Vol. 1,02:24,False
Shiny,Jemaine Clement,Moana (Original Motion Picture Soundtrack) [Deluxe Edition],03:05,False
Shoot The Runner,Kasabian,Empire,03:27,False
Shooting Stars,Bag Raiders,Bag Raiders (Bonus Track Version),03:55,False
Shotgun,George Ezra,Staying at Tamara's,03:21,False
Show Business,A Tribe Called Quest,The Low End Theory,03:53,False
Shut Up and Let Me Go,The Ting Tings,We Started Nothing,02:53,False
Si Te Vienen a Contar (Banda Sonora de la Película: "Los Jefes"),Cartel de Santa,Los Jefes (Banda Sonora de la Película),03:55,True
SICKO MODE,Travis Scott,ASTROWORLD,05:12,True
Sigh No More,Mumford & Sons,Sigh No More,03:27,False
Silver & Gold,Neil Young,Silver & Gold,03:16,False
Simple Song,The Shins,Port of Morrow,04:15,False
Since I Left You,The Avalanches,Since I Left You,04:22,False
Since I Saw Vienna,Wilbur,Your City Gave Me Asthma,02:27,False
Sing Another Song  Boys,Leonard Cohen,Songs of Love and Hate,06:17,False
A Singer Must Die,Leonard Cohen,New Skin for the Old Ceremony,03:21,False
Sinnerman,Nina Simone,Spotlight on Nina Simone,10:19,False
Sir Duke,Stevie Wonder,Songs in the Key of Life,03:53,False
Sit Down,James,The Best of James,04:04,False
Skeleton,The Front Bottoms,Talon of the Hawk,03:35,True
Skibidi,Little Big,Skibidi,02:43,False
Skinny Love,Birdy,Birdy,03:23,False
Skypager,A Tribe Called Quest,The Low End Theory,02:12,False
Sleep,My Chemical Romance,The Black Parade,04:43,False
Sleep Forever,Portugal. The Man,In the Mountain In the Cloud,06:20,True
Slide,The Goo Goo Dolls,Dizzy Up the Girl,03:32,False
Slip,Shubh Saran,Hmayra,03:19,False
Slipping Through My Fingers,Meryl Streep & Amanda Seyfried,Mamma Mia! (The Movie Soundtrack),03:50,False
Sloop John B,The Beach Boys,Pet Sounds,03:01,False
SLOW DANCING IN THE DARK,Joji,BALLADS 1,03:29,True
Slumber Party (feat. Princess Nokia),Ashnikko,DEMIDEVIL,02:58,True
Small Hands,Keaton Henson,Dear (Deluxe Edition),03:00,False
Smells Like Teen Spirit,Nirvana,Nevermind,05:01,False
Smile / Petty,Anderson .Paak,Oxnard,04:42,False
Smiley Faces,Gnarls Barkley,St. Elsewhere,03:05,False
Smoko,The Chats,Get This In Ya,02:59,False
Snap Out of It,Arctic Monkeys,AM,03:12,False
So Fresh  So Clean,Outkast,Stankonia,04:00,True
So Young,Portugal. The Man,Woodstock,04:06,False
Sober,Childish Gambino,Kauai,04:12,False
Sober to Death,Car Seat Headrest,Twin Fantasy,05:04,False
Soma,The Strokes,Is This It,02:37,False
Some Girl (feat. Steve Lacy),GoldLink,At What Cost,05:42,True
Some L.A. Niggaz,Dr. Dre,2001,04:25,True
Somebody That I Used to Know (feat. Kimbra),Gotye,Somebody That I Used to Know (feat. Kimbra) - Single,04:04,False
Somebody To Love,Queen,Greatest Hits,04:57,False
Somebody Told Me,The Killers,Hot Fuss (Deluxe Edition),03:17,False
Someday,The Strokes,Is This It,03:07,False
Somewhere Only We Know,Keane,Hopes and Fears,03:57,False
Somewhere Over the Rainbow,Israel Kamakawiwo'ole,Alone in IZ World,03:31,False
Song 2,Blur,Blur,02:01,False
Songbird,Fleetwood Mac,Rumours,03:20,False
Soothing,Laura Marling,Semper Femina,04:16,False
Sound of da Police,KRS-One,Return of the Boom Bap,04:18,False
South,Hippo Campus,South - EP,03:51,False
Southern Nights,Glen Campbell,Southern Nights,03:00,False
Space Song,Beach House,Depression Cherry,05:20,False
Spain,Chick Corea,Light As a Feather,09:02,False
Sparks,Beach House,Depression Cherry,05:21,False
Spelunking,Laura Veirs,Year of Meteors,03:06,False
Spirit In the Sky,Norman Greenbaum,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),04:02,False
Spring,Two Door Cinema Club,Beacon,03:24,False
Stand Up Tragedy,The Fratellis,In Your Own Sweet Time,03:45,False
Star Treatment,Arctic Monkeys,Tranquility Base Hotel & Casino,05:54,False
Star Trekkin' (Original Radio Version),The Firm,Star Trekkin' - Single,03:35,False
Starálfur,Sigur Rós,Ágætis Byrjun,06:46,False
Starboy (feat. Daft Punk),The Weeknd,Starboy,03:50,True
Stay High,Brittany Howard,Jaime,03:11,False
Stem / Long Stem (Clams Casino Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),03:28,False
Step,Vampire Weekend,Modern Vampires of the City,04:11,False
STFU,Pink Guy,Pink Season,03:44,True
Still D.R.E.,Dr. Dre,2001,04:28,True
Still Into You,Paramore,Paramore,03:36,False
Still Take You Home,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,02:53,False
Stolen Dance,Milky Chance,Stolen Dance - Single,05:13,False
Stop Smoking (We Love You),Car Seat Headrest,Twin Fantasy,01:29,False
Stop the World I Wanna Get Off With You,Arctic Monkeys,Why'd You Only Call Me When You're High? - Single,03:08,False
Stop!,Against Me!,Stop! - Single,02:33,True
Strange Encounter,Father John Misty,I Love You  Honeybear,04:19,False
Stress,Jim's Big Ego,Noplace Like Nowhere,04:13,False
Stumblin' In,Suzi Quatro & Chris Norman,The Very Best of Suzi Quatro,03:59,False
The Suburbs,Arcade Fire,The Suburbs,05:15,False
Such Great Heights,The Postal Service,Such Great Heights - EP,04:27,False
Suddenly I See,KT Tunstall,Eye to the Telescope,03:21,False
Sugar  We're Going Down,Fall Out Boy,From Under the Cork Tree,03:49,False
Suicide Bomber,Against Me!,Shape Shift with Me,03:37,True
Suite bergamasque  L. 75: III. Clair de lune,Menahem Pressler,Clair de lune,06:17,False
Summer Friends (feat. Jeremih & Francis & The Lights),Chance the Rapper,Coloring Book,04:50,True
Summer's Gone,Aberfeldy,Young Forever,03:33,False
Summertime,DJ Jazzy Jeff and the Fresh Prince,Homebase,04:30,False
Sunday Morning,The Velvet Underground & Nico,The Velvet Underground & Nico 45th Anniversary Remaster,02:55,False
Sunflower,Rex Orange County,Sunflower - Single,04:12,True
Sunny Afternoon,The Kinks,The Ultimate Collection,03:35,False
Sunny Afternoon (Alternate Stereo Mix),The Kinks,Face to Face (Deluxe Edition),03:48,False
Sunny Duet (feat. theMIND),Noname,Telefone,02:42,False
Sunshine (feat. Sean Lennon  Money Mark  Father Guido Sarducci  Josh Hayden & Paula Frazer) [Groove Armada Sunset Dub],Handsome Boy Modeling School,So...How's Your Girl?,08:33,False
Sunshine On Leith,The Proclaimers,The Best of the Proclaimers,05:16,False
The Sunshine Underground,The Chemical Brothers,Surrender,08:38,False
Supalonely (feat. Gus Dapperton),BENEE,Stella & Steve - EP,03:43,True
Supermarket Flowers,Ed Sheeran,÷ (Deluxe),03:41,False
Supermassive Black Hole,Muse,Black Holes and Revelations,03:28,False
Supersonic Rocket Ship,The Kinks,The Ultimate Collection,03:31,False
Superstition,Stevie Wonder,Talking Book,04:26,False
Supremacy,Muse,The 2nd Law,04:55,False
Surfin' U.S.A.,The Beach Boys,The Beach Boys 20 Golden Greats,02:28,False
Surrender,The Chemical Brothers,Surrender,04:30,False
Survival,Muse,The 2nd Law,04:17,False
Svefn-G-Englar,Sigur Rós,Ágætis Byrjun,10:06,False
Swear to God the Devil Made Me Do It,The Front Bottoms,Talon of the Hawk,03:30,False
Sweet Caroline,Neil Diamond,Sweet Caroline,03:22,False
Sweet Chick (feat. BJ the Chicago Kid),Anderson .Paak,Oxnard,03:57,False
Sweet Dew Lee,Belle and Sebastian,How to Solve Our Human Problems  Pt. 1 - EP,06:29,False
The Sweet Escape (feat. Akon),Gwen Stefani,The Sweet Escape - Single,04:06,False
Sweet Life,Frank Ocean,Channel ORANGE,04:22,True
Sylvia,Pulp,This Is Hardcore (Deluxe Edition),05:44,False
Tainted Love,Soft Cell,The Very Best of Soft Cell,02:40,False
Take a Chance On Me,ABBA,ABBA Gold,04:04,False
Take Her Back,The Pigeon Detectives,Wait for Me,03:17,False
Take It Or Leave It,The Strokes,Is This It,03:16,False
Take Me Out,Franz Ferdinand,Franz Ferdinand,03:57,False
Take This Longing,Leonard Cohen,New Skin for the Old Ceremony,04:10,False
Tattooed Tears,The Front Bottoms,Talon of the Hawk,03:51,False
Techno Disco Tool,Mella Dee,Techno Disco Tool - Single,06:41,False
Teddy Picker,Arctic Monkeys,Favourite Worst Nightmare,02:43,False
Teenage Dirtbag,Wheatus,Top of the Pop's Vol. 1 (The Best of 2001),04:01,True
Teenage Dream,Katy Perry,Teenage Dream,03:47,False
Teenagers,My Chemical Romance,The Black Parade,02:41,False
Teisco,Beak>,>>>,02:06,False
Temporary View (feat. Sampha),SBTRKT,Wonder Where We Land,03:26,False
Tha Shiznit,Snoop Dogg,Doggystyle,04:40,True
Thank God I'm Not You,Himalayas,Thank God I'm Not You - Single,03:14,False
That's Amore,Dean Martin,Greatest Hits,03:05,False
That's Kinda Wavy,Kyle Watson,Road Trips - EP,05:22,False
That's Not My Name,The Ting Tings,We Started Nothing,05:10,False
The Magic Number,De La Soul,3 Feet High And Rising,03:16,False
There is a Mountain,Donovan,The Best of Donovan Sunshine Superman,02:36,False
There Is a Mountain (2005 Remastered Version) [Stereo],Donovan,Mellow Yellow,02:36,False
There Is a War,Leonard Cohen,New Skin for the Old Ceremony,03:04,False
These Boots Are Made for Walkin',Nancy Sinatra,Boots,02:45,False
These Days,Nico,Chelsea Girl,03:34,False
This Ain't a Scene  It's an Arms Race,Fall Out Boy,Infinity On High (Deluxe Edition),03:32,False
This House Is A Circus,Arctic Monkeys,Favourite Worst Nightmare,03:09,False
This Is America,Childish Gambino,This Is America - Single,03:45,True
This Is How I Disappear,My Chemical Romance,The Black Parade,03:59,True
This Love,Maroon 5,Songs About Jane: 10th Anniversary Edition,03:27,False
This Will Be Our Year,The Zombies,The Original Studio Recordings  Vol. 1,02:08,False
Thnks Fr Th Mmrs,Fall Out Boy,Infinity On High (Deluxe Edition),03:23,False
Three Little Birds,Bob Marley & The Wailers,Exodus,03:00,False
Three MC's and One DJ,Beastie Boys,Hello Nasty (Deluxe),02:50,True
Thriller,Michael Jackson,Thriller,05:57,False
Throw Your Arms Around Me,Hunters & Collectors,Human Frailty,03:53,False
Thunderstruck,AC/DC,The Razors Edge,04:52,False
Tidal Wave,Portugal. The Man,Woodstock,03:31,False
Time of the Season,The Zombies,The Original Studio Recordings  Vol. 1,03:10,False
Tints (feat. Kendrick Lamar),Anderson .Paak,Oxnard,04:28,False
To Wait to Wit to Woo,Rachel Sermanni,Live in Dawson City,04:25,False
Together In Electric Dreams,Phil Oakey & Giorgio Moroder,80s Forever,03:51,False
Tomorrow Comes Today,Gorillaz,Gorillaz,03:12,False
Tondo,Disclosure & Eko Roosevelt,Tondo - Single,05:28,False
Tongue Tied,Grouplove,Tongue Tied - Single,03:38,False
Tonight's The Kind Of Night,Noah & The Whale,Last Night On Earth,03:09,False
Too Much Love Will Kill You,Queen,Greatest Hits I  II & III,04:18,False
Too Much Love Will Kill You (2011 Remaster),Queen,Queen Forever (Deluxe Edition),04:20,False
Too Shy,Kajagoogoo,The Very Best of Kajagoogoo,03:41,False
Torch Song Trilogy (feat. Sensational),Handsome Boy Modeling School,So...How's Your Girl?,03:54,False
Total Eclipse of the Heart (Single Version),Bonnie Tyler,Greatest Hits,04:28,False
Touch (feat. Paul Williams),Daft Punk,Random Access Memories,08:18,False
Tous les garçons et les filles,Françoise Hardy,Françoise Hardy,03:07,False
Tranquility Base Hotel & Casino,Arctic Monkeys,Tranquility Base Hotel & Casino,03:31,True
Transformer,Gnarls Barkley,St. Elsewhere,02:17,False
Transmissions (Kuedo Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),04:19,False
Transportin',Kodak Black,Project Baby 2: All Grown Up (Deluxe),02:49,True
Trippy (feat. J. Cole),Anderson .Paak,Oxnard,05:23,False
True Affection,Father John Misty,I Love You  Honeybear,03:56,False
True Loves Leaves No Traces,Leonard Cohen,Death of a Ladies' Man,04:27,False
The Truth (feat. Roisin & J-Live),Handsome Boy Modeling School,So...How's Your Girl?,05:37,False
Truth Hurts,Lizzo,Truth Hurts - Single,02:53,True
Tu Vuo' Fa L'Americano,Fiorello  Matt Damon & Jude Law,The Talented Mr. Ripley (Music from the Motion Picture),03:01,False
Turn Me On (feat. Vula),Riton & Oliver Heldens,Turn Me On (feat. Vula) - Single,03:28,False
Turn the Light,Karen O & Danger Mouse,Lux Prima,03:19,False
Turning Japanese,The Vapors,NME Classics,03:43,False
Twin Fantasy (Those Boys),Car Seat Headrest,Twin Fantasy,06:54,True
Twin Size Mattress,The Front Bottoms,Talon of the Hawk,04:24,True
Two Weeks,Grizzly Bear,Two Weeks - Single,04:06,False
U Don't Know Me (feat. Duane Harden),Armand Van Helden,2 Future 4 U,08:04,False
The Ultracheese,Arctic Monkeys,Tranquility Base Hotel & Casino,03:37,False
Unchained Melody,The Righteous Brothers,Unchained Melody - The Very Best of the Righteous Brothers,03:35,False
Under Cover of Darkness,The Strokes,Angles,03:55,False
Under My Thumb,The Rolling Stones,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack) [Deluxe Version],03:41,False
Under Pressure,Queen & David Bowie,Greatest Hits I  II & III,04:08,False
Under the Influence,The Chemical Brothers,Surrender,04:16,False
Underwear,Pulp,Different Class,04:06,False
Undisclosed Desires,Muse,The Resistance,03:56,False
